,Name,Artist,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,year
3392,Wall To Wall,Chris Brown,0.00398,0.596,223187,0.54,0,0,7,0.127,1.014799167,0,0.11,188.003,0.579,2007
3393,Wanksta,50 Cent,0.0225,0.807,218707,0.861,1,0,1,0.157,1.015713333,1,0.144,81.006,0.876,2002
3394,Wanna Be That Song,Brett Eldredge,0.114,0.518,236227,0.686,0,0,9,0.114,1.0153025,1,0.0313,144.065,0.334,2015
3395,Want To,Sugarland,0.474,0.438,215293,0.73,0,0,3,0.113,1.015616667,1,0.0407,158.281,0.148,2006
3396,Want To Want Me,Jason Derulo,0.00906,0.775,207719,0.68,0,0,0,0.109,1.015136667,0,0.0629,114.025,0.656,2015
3397,Want U Back,Cher Lloyd,0.0562,0.694,214573,0.891,0,0,9,0.561,1.01585,1,0.0949,97.939,0.563,2012
3398,Want You Back,5 Seconds Of Summer,0.00699,0.618,173082,0.867,1,1.03E-06,0,0.202,1.015301389,1,0.0439,98.03,0.579,2018
3399,Wanted,Hunter Hayes,0.268,0.421,228840,0.476,0,0,0,0.0816,1.01453,1,0.0298,169.784,0.3,2011
3400,Wasted,Carrie Underwood,0.0936,0.548,274267,0.775,0,0,8,0.0721,1.015754167,1,0.0306,94.998,0.311,2005
3401,Wasted Time,Keith Urban,0.0621,0.625,233827,0.825,0,0,7,0.0753,1.015067222,1,0.0481,100.004,0.341,2016
3402,Wasted Times,The Weeknd,0.61,0.56,220293,0.678,1,1.42E-05,10,0.111,1.014953611,0,0.0581,122.585,0.29,2018
3403,Wasteland,10 Years,0.000422,0.409,229867,0.783,0,0.000354,6,0.0664,1.015254722,0,0.0731,145.541,0.313,2005
3404,Wasting All These Tears,Cassadee Pope,0.0959,0.465,215640,0.772,0,1.04E-05,5,0.167,1.015574444,0,0.0378,155.83,0.257,2013
3405,Wasting My Time,Default,0.00171,0.449,269307,0.776,0,0,2,0.0698,1.015112778,1,0.0322,148.11,0.198,2001
3406,Watch Out,2 Chainz,0.826,0.899,207813,0.504,1,0,8,0.052,1.014789444,0,0.5,129.89,0.537,2015
3407,Watch Out Now,The Beatnuts,0.0969,0.781,174800,0.633,1,0.000984,11,0.154,1.014726944,0,0.291,100.414,0.913,1999
3408,Watch The Wind Blow By,Tim Mcgraw,0.0924,0.517,276400,0.608,0,0,10,0.0707,1.014665,1,0.0265,62.65,0.506,2002
3409,Watching Airplanes,Gary Allan,0.547,0.374,242947,0.711,0,4.12E-05,11,0.147,1.015670278,1,0.0354,160.001,0.468,2007
3410,Watching You,Rodney Atkins,0.105,0.625,235427,0.848,0,0,2,0.23,1.015553333,1,0.0314,137.993,0.716,2006
3411,Water,Brad Paisley,0.00493,0.562,261920,0.825,0,0.000629,5,0.57,1.015057222,1,0.0269,97.54,0.694,2009
3412,Water,Ugly God,0.638,0.808,139305,0.271,1,0.000462,0,0.116,1.012678194,0,0.4105,140.0455,0.2,2016
3413,Water Under The Bridge,Adele,0.0189,0.596,240427,0.838,0,1.54E-05,5,0.108,1.014855556,0,0.0704,94.982,0.472,2016
3414,Wave On Wave,Pat Green,0.178,0.671,244373,0.755,0,2.64E-05,2,0.0675,1.015201667,1,0.0252,103.552,0.362,2003
3415,Waves,Kanye West,0.0528,0.557,181573,0.586,1,7.33E-06,10,0.339,1.015397222,1,0.0382,96.091,0.0681,2016
3416,Waves,Mr. Probz,0.541,0.365,174267,0.277,0,2.87E-05,5,0.38,1.013260556,0,0.0353,173.264,0.2,2013
3417,Way Down We Go,Kaleo,0.579,0.489,213707,0.505,0,0.000333,10,0.104,1.014438333,0,0.117,163.255,0.337,2016
3418,Way Out Here,Josh Thompson,0.057,0.389,245899,0.72,0,0,2,0.183,1.015148611,1,0.0308,147.94,0.51,2010
3419,We Are Never Ever Getting Back Together,Taylor Swift,0.00957,0.628,192302.3333,0.676,0,2.65E-05,7,0.108333333,1.015024722,1,0.0916,85.984,0.75,2012
3420,We Are Tonight,Billy Currington,0.0323,0.559,232107,0.812,0,0,11,0.195,1.015181389,1,0.0371,127.911,0.472,2013
3421,We Be Burnin',Sean Paul,0.145,0.95,213066,0.803,0,0,1,0.0748,1.015501389,1,0.151,117,0.86,2005
3422,We Belong Together,Mariah Carey,0.0339,0.837,201400,0.462,0,0,0,0.09,1.014475,1,0.0601,139.986,0.762,2005
3423,We Danced,Brad Paisley,0.431,0.594,225953.5,0.4275,0,0,9,0.113,1.014006528,1,0.02615,109.526,0.142,1999
3424,We Dem Boyz,Wiz Khalifa,0.00689,0.717,224933,0.862,1,0,8,0.321,1.015351111,1,0.054,130.021,0.52,2014
3425,We Fly High,Jim Jones,0.0791,0.506,236080,0.799,1,0,1,0.0929,1.014838889,1,0.38,120.405,0.461,2006
3426,We Made You,Eminem,0.107,0.924,269613,0.853,0,1.45E-06,2,0.129,1.0163325,1,0.0792,114.003,0.67,2009
3427,We Might Be Dead By Tomorrow,Soko,0.966,0.39,161413,0.151,0,0.000897,7,0.119,1.012085556,1,0.0389,143.421,0.0827,2013
3428,We No Speak Americano,"Yolanda Be Cool, Dcup",0.0283,0.866,269800,0.692,0,0.277,3,0.0977,1.015318056,0,0.0493,125.003,0.494,2010
3429,We Own The Night,The Wanted,0.00559,0.553,205400,0.937,0,0,11,0.363,1.01554,1,0.12,103.97,0.548,2013
3430,We Rock,Cast Of Camp Rock,0.00635,0.638,190933,0.953,0,0,8,0.12,1.015696944,0,0.11,143.849,0.799,2008
3431,We Went,Randy Houser,0.097,0.646,179360,0.882,0,0,4,0.311,1.015619444,0,0.0371,101.997,0.544,2016
3432,We Weren'T Born To Follow,Bon Jovi,0.00125,0.5,243493,0.847,0,0,11,0.0875,1.015493889,1,0.0417,125.964,0.716,2009
3433,Weak,Ajr,0.118,0.67,201159,0.643,0,0,5,0.192,1.015401944,1,0.0465,123.979,0.703,2017
3434,Weak And Powerless,A Perfect Circle,0.000172,0.483,195133,0.841,0,0.861,1,0.108,1.014585,0,0.0523,159.747,0.13,2003
3435,Welcome To My Life,Simple Plan,0.0134,0.421,206773,0.858,0,0,1,0.067,1.015406944,1,0.0963,173.255,0.491,2004
3436,Welcome To New York,Taylor Swift,0.0364,0.791,212600,0.634,0,1.70E-06,7,0.303,1.015337639,1,0.03235,117.0075,0.6365,2014
3437,Welcome To The Black Parade,My Chemical Romance,0.000289,0.217,311107,0.905,0,0.00011,2,0.222,1.015526944,1,0.0752,96.95,0.236,2006
3438,West Coast,Lana Del Rey,0.194,0.527,256760,0.591,0,0.0194,6,0.0907,1.014537778,0,0.0396,123.167,0.461,2014
3439,Weston Road Flows,Drake,0.0635,0.623,253533,0.74,1,0,1,0.366,1.014738333,1,0.307,82.877,0.35,2016
3440,Wet Dreamz,J. Cole,0.0751,0.517,239320,0.705,1,0,6,0.128,1.0143875,0,0.364,175.906,0.584,2014
3441,"What A Catch, Donnie",Fall Out Boy,0.0516,0.481,290800,0.69,0,1.89E-06,5,0.173,1.015506389,1,0.0363,128.003,0.459,2008
3442,What A Girl Wants,Christina Aguilera,0.0684,0.754,215800,0.819,0,0,0,0.345,1.014768611,1,0.112,142.137,0.818,1999
3443,What About Now,Daughtry,0.06765,0.3605,251750.5,0.835,0,0,9,0.157,1.015882361,0,0.04275,161.9895,0.2635,2006
3444,What About Now,Lonestar,0.3225,0.701,210626.5,0.7535,0,0,4,0.13075,1.014854861,1,0.0342,126.438,0.7495,1999
3445,What About Us,P!Nk,0.0285,0.489,269600,0.588,0,2.11E-06,1,0.0906,1.014950833,1,0.0507,113.617,0.187,2017
