,Name,Artist,Weeks.on.chart,Peak.position
370,That'S Entertainment,The Jam,,
371,The Boys Of Summer,Don Henley,22.0,5.0
372,The End,The Doors,,
373,The Girl Can'T Help It,Little Richard,8.0,49.0
374,The Great Pretender,The Platters,24.0,1.0
375,The Harder They Come,Jimmy Cliff,,
376,The Letter,The Box Tops,16.0,1.0
377,The Loco-Motion,Little Eva,16.0,1.0
378,The Message,"Grandmaster Flash, The Furious Five",7.0,62.0
379,The Night They Drove Old Dixie Down,The Band,,
380,The Rising,Bruce Springsteen,11.0,52.0
381,The Sounds Of Silence,"Simon, Garfunkel",14.0,1.0
382,The Thrill Is Gone,B.B. King,14.0,15.0
383,The Times They Are A-Changin',Bob Dylan,,
384,The Tracks Of My Tears,"Smokey Robinson, The Miracles",12.0,16.0
385,The Twist,Chubby Checker,39.0,1.0
386,The Wanderer,Dion,18.0,2.0
387,The Weight,The Band,7.0,63.0
388,The Wind Cries Mary,Jimi Hendrix,8.0,65.0
389,There Goes My Baby,The Drifters,19.0,2.0
390,Thirteen,Big Star,,
391,Thunder Road,Bruce Springsteen,,
392,Ticket To Ride,The Beatles,11.0,1.0
393,Tighten Up,"Archie Bell, The Drells",15.0,1.0
394,Time To Pretend,Mgmt,,
395,Tiny Dancer,Elton John,7.0,41.0
396,Tired Of Being Alone,Al Green,19.0,11.0
397,Tonight'S The Night,The Shirelles,12.0,39.0
398,Train In Vain (Stand By Me),The Clash,14.0,23.0
399,Try A Little Tenderness,Otis Redding,10.0,25.0
400,Tumbling Dice,Rolling Stones,10.0,7.0
401,Tutti Frutti,Little Richard,12.0,17.0
402,Umbrella,"Rihanna, Jay-Z",27.0,1.0
403,Unchained Melody,The Righteous Brothers,13.0,4.0
404,Under The Boardwalk,The Drifters,33.0,4.0
405,Visions Of Johanna,Bob Dylan,,
406,Wake Up Little Susie,The Everly Brothers,26.0,1.0
407,Walk Away Renee,The Left Banke,13.0,5.0
408,Walk On By,Dionne Warwick,13.0,6.0
409,Walk On The Wild Side,Lou Reed,14.0,16.0
410,Walk This Way,Aerosmith,17.0,10.0
411,Walk This Way,Run-D.M.C.,16.0,4.0
412,Walking In The Rain,The Ronettes,11.0,23.0
413,Watching The Detectives,Elvis Costello,,
414,Waterloo Sunset,The Kinks,,
415,Way Of The World,"Earth, Wind, Fire",16.0,12.0
416,We Gotta Get Out Of This Place,The Animals,11.0,13.0
417,We Will Rock You,Queen,14.0,52.0
418,We'Ve Only Just Begun,Carpenters,17.0,2.0
419,Welcome To The Jungle,Guns N' Roses,17.0,7.0
420,What'D I Say,Ray Charles,15.0,6.0
421,What'S Going On,Marvin Gaye,13.0,2.0
422,What'S Love Got To Do With It,Tina Turner,28.0,1.0
423,When A Man Loves A Woman,Percy Sledge,13.0,1.0
424,When Doves Cry,Prince,21.0,1.0
425,Where Did Our Love Go,The Supremes,14.0,1.0
426,Whipping Post,The Allman Brothers Band,,
427,White Rabbit,Jefferson Airplane,10.0,8.0
428,White Room,Cream,11.0,6.0
429,Whiter Shade Of Pale,Procol Harum,12.0,5.0
430,Who'Ll Stop The Rain,Creedence Clearwater Revival,,
431,Whole Lotta Love,Led Zeppelin,15.0,4.0
432,Whole Lotta Shakin' Going On,Jerry Lee Lewis,29.0,3.0
433,Why Do Fools Fall In Love,"Frankie Lymon, The Teenagers",21.0,6.0
434,Wichita Lineman,Glen Campbell,15.0,3.0
435,Wild Horses,The Rolling Stones,8.0,28.0
436,Wild Thing,The Troggs,11.0,1.0
437,William,The Smiths,,
438,Wish You Were Here,Pink Floyd,,
439,With A Little Help From My Friends,The Beatles,,
440,Wonderful World,Sam Cooke,15.0,12.0
441,Yesterday,The Beatles,11.0,1.0
442,You Are The Sunshine Of My Life,Stevie Wonder,17.0,1.0
443,You Keep Me Hangin' On,The Supremes,12.0,1.0
444,You Really Got Me,The Kinks,15.0,7.0
445,You'Ve Lost That Lovin' Feelin',The Righteous Brothers,16.0,1.0
446,Young Americans,David Bowie,11.0,28.0
447,Young Blood,The Coasters,11.0,1.0
448,Your Cheatin' Heart,Hank Williams,,
449,Ziggy Stardust,David Bowie,,
