,Name,Artist,Weeks.on.chart,Peak.position
383,The Times They Are A-Changin',Bob Dylan,,
384,The Tracks Of My Tears,"Smokey Robinson, The Miracles",12,16
385,The Twist,Chubby Checker,39,1
386,The Wanderer,Dion,18,2
387,The Weight,The Band,7,63
388,The Wind Cries Mary,Jimi Hendrix,8,65
389,There Goes My Baby,The Drifters,19,2
390,Thirteen,Big Star,,
391,Thunder Road,Bruce Springsteen,,
392,Ticket To Ride,The Beatles,11,1
393,Tighten Up,"Archie Bell, The Drells",15,1
394,Time To Pretend,Mgmt,,
395,Tiny Dancer,Elton John,7,41
396,Tired Of Being Alone,Al Green,19,11
397,Tonight'S The Night,The Shirelles,12,39
398,Train In Vain (Stand By Me),The Clash,14,23
399,Try A Little Tenderness,Otis Redding,10,25
400,Tumbling Dice,Rolling Stones,10,7
401,Tutti Frutti,Little Richard,12,17
402,Umbrella,"Rihanna, Jay-Z",27,1
403,Unchained Melody,The Righteous Brothers,13,4
404,Under The Boardwalk,The Drifters,33,4
405,Visions Of Johanna,Bob Dylan,,
406,Wake Up Little Susie,The Everly Brothers,26,1
407,Walk Away Renee,The Left Banke,13,5
408,Walk On By,Dionne Warwick,13,6
409,Walk On The Wild Side,Lou Reed,14,16
410,Walk This Way,Aerosmith,17,10
411,Walk This Way,Run-D.M.C.,16,4
412,Walking In The Rain,The Ronettes,11,23
413,Watching The Detectives,Elvis Costello,,
414,Waterloo Sunset,The Kinks,,
415,Way Of The World,"Earth, Wind, Fire",16,12
416,We Gotta Get Out Of This Place,The Animals,11,13
417,We Will Rock You,Queen,14,52
418,We'Ve Only Just Begun,Carpenters,17,2
419,Welcome To The Jungle,Guns N' Roses,17,7
420,What'D I Say,Ray Charles,15,6
421,What'S Going On,Marvin Gaye,13,2
422,What'S Love Got To Do With It,Tina Turner,28,1
423,When A Man Loves A Woman,Percy Sledge,13,1
424,When Doves Cry,Prince,21,1
425,Where Did Our Love Go,The Supremes,14,1
426,Whipping Post,The Allman Brothers Band,,
427,White Rabbit,Jefferson Airplane,10,8
428,White Room,Cream,11,6
429,Whiter Shade Of Pale,Procol Harum,12,5
430,Who'Ll Stop The Rain,Creedence Clearwater Revival,,
431,Whole Lotta Love,Led Zeppelin,15,4
432,Whole Lotta Shakin' Going On,Jerry Lee Lewis,29,3
433,Why Do Fools Fall In Love,"Frankie Lymon, The Teenagers",21,6
434,Wichita Lineman,Glen Campbell,15,3
435,Wild Horses,The Rolling Stones,8,28
436,Wild Thing,The Troggs,11,1
437,William,The Smiths,,
438,Wish You Were Here,Pink Floyd,,
439,With A Little Help From My Friends,The Beatles,,
440,Wonderful World,Sam Cooke,15,12
441,Yesterday,The Beatles,11,1
442,You Are The Sunshine Of My Life,Stevie Wonder,17,1
443,You Keep Me Hangin' On,The Supremes,12,1
444,You Really Got Me,The Kinks,15,7
445,You'Ve Lost That Lovin' Feelin',The Righteous Brothers,16,1
446,Young Americans,David Bowie,11,28
447,Young Blood,The Coasters,11,1
448,Your Cheatin' Heart,Hank Williams,,
449,Ziggy Stardust,David Bowie,,
