,Name,Artist,Weeks.on.chart,Peak.position
475,Call Me Maybe,Carly Rae Jepsen,50,1
476,Call Me When You'Re Sober,Evanescence,22,10
477,Call Out My Name,The Weeknd,18,4
478,Call You Mine,"The Chainsmokers, Bebe Rexha",4,67
479,Callaita,"Bad Bunny, Tainy",3,68
481,Calling All Angels,Train,29,19
482,Calling All The Monsters,China Anne Mcclain,2,86
483,Calling My Spirit,Kodak Black,17,46
484,Came Here To Forget,Blake Shelton,19,36
485,Can'T Be Broken,Lil Wayne,2,17
486,Can'T Be Friends,Trey Songz,20,43
487,Can'T Be Tamed,Miley Cyrus,10,8
488,Can'T Feel My Face,The Weeknd,41,1
489,Can'T Fight The Moonlight,Leann Rimes,42,11
490,Can'T Get You Out Of My Head,Kylie Minogue,20,7
491,Can'T Have Everything,Drake,2,82
492,Can'T Help But Wait,Trey Songz,24,14
493,Can'T Leave Without It,21 Savage,4,58
494,Can'T Let Go,Anthony Hamilton,19,71
495,Can'T Raise A Man,K. Michelle,7,94
496,Can'T Shake You,Gloriana,4,83
498,Can'T Stay,Dave Hollister,4,84
499,Can'T Stop,Red Hot Chili Peppers,20,57
500,Can'T Stop Dancin',Becky G,3,88
501,Can'T Tell Me Nothing,Kanye West,19,41
503,Candy,Mandy Moore,20,41
504,Candy Paint,Post Malone,21,34
505,Candyman,Christina Aguilera,17,25
506,Capsize,"Frenship, Emily Warren",10,78
508,Careless Whisper,Seether,18,63
509,Carlene,Phil Vassar,20,45
510,Carolina,Parmalee,19,36
511,Carry On,Fun.,20,20
514,Castaway,Zac Brown Band,2,96
515,Castle On The Hill,Ed Sheeran,33,6
518,Catch My Breath,Kelly Clarkson,24,19
519,Caught Out There,Kelis,12,54
520,Caught Up,Usher,27,8
521,Cecilia And The Satellite,Andrew Mcmahon In The Wilderness,3,96
523,Celebrity,Brad Paisley,20,31
524,Centuries,Fall Out Boy,34,10
525,Chain Hang Low,Jibbs,20,7
526,Chains,Nick Jonas,20,13
528,Chandelier,Sia,46,8
530,Change,Taylor Swift,3,10
532,Change Locations,"Drake, Future",3,82
533,Change Your Mind,Sister Hazel,20,59
534,Changed,Rascal Flatts,8,73
535,Changes,Xxxtentacion,20,18
536,Chariot,Gavin Degraw,20,30
537,Charlene,Anthony Hamilton,22,19
538,Chasing Cars,Snow Patrol,45,5
539,Chasing Pavements,Adele,7,21
540,Chasing The Sun,The Wanted,15,50
541,Cheap Thrills,Sia,52,1
543,Check It Out,"Will.I.Am, Nicki Minaj",15,24
544,Check My Brain,Alice In Chains,4,92
545,Chicken Fried,Zac Brown Band,25,20
547,Chillin' It,Cole Swindell,20,28
549,Chocolate,The 1975,6,80
550,Christmas Lights,Coldplay,3,25
551,Church Bells,Carrie Underwood,17,43
552,Circle,Marques Houston,6,78
553,Circus,Britney Spears,22,3
554,Citizen/Soldier,3 Doors Down,2,96
555,Clap Back,Ja Rule,10,44
556,Classic,Mkto,27,14
557,Cleanin' Out My Closet,Eminem,20,4
558,Climax,Usher,20,17
559,Clint Eastwood,Gorillaz,11,57
560,Clocks,Coldplay,22,29
561,Close Your Eyes,Parmalee,16,69
562,Closer,Tegan And Sara,3,90
563,Closer To Love,Mat Kearney,7,91
565,Clouds,Zach Sobiech,2,26
566,Clumsy,Fergie,25,5
567,Cochise,Audioslave,15,69
568,Coco,O.T. Genasis,20,20
569,Coffee,Miguel,3,78
570,Cold,Crossfade,23,81
571,Cold Hard Bitch,Jet,20,55
572,Cold One,Eric Church,6,88
574,Colder Weather,Zac Brown Band,20,29
575,Collide,Howie Day,32,20
576,Come A Little Closer,Dierks Bentley,20,31
577,Come Back Song,Darius Rucker,20,37
579,Come Back To Me,David Cook,19,63
580,Come Back To Me,Vanessa Hudgens,19,55
581,Come Clean,Hilary Duff,13,35
582,Come Get Her,Rae Sremmurd,19,56
584,Come On Get Higher,Matt Nathanson,20,59
585,Come On Over,Shania Twain,10,58
587,Come Over,Kenny Chesney,20,23
589,Come Wake Me Up,Rascal Flatts,20,52
590,Come With Me Now,Kongos,21,31
591,Comfortable,K Camp,15,54
592,Comin' To Your City,"Big, Rich",6,72
593,Coming Undone,Korn,6,79
594,Company,Justin Bieber,12,53
595,Complicated,Avril Lavigne,31,2
596,Concrete Angel,Martina Mcbride,19,47
597,Confession,Florida Georgia Line,20,53
599,Confessions Part Ii,Usher,25,1
600,Confident,Demi Lovato,20,21
601,Consequences,Camila Cabello,12,51
602,Control,Puddle Of Mudd,20,68
